SF_Id,Name,Object,Field,Before,After,Source,Action,Result,Error,Timestamp
a0BWR0000083yKv2AI,AGR-0544,Agreement__c,*record*,"{""Name"": ""AGR-0544"", ""Opportunity__c"": ""006WR00000wkDuAYAU"", ""Opportunity_Name"": ""Villas on Horne"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:22.811104
a0BWR0000083yLD2AY,AGR-0562,Agreement__c,*record*,"{""Name"": ""AGR-0562"", ""Opportunity__c"": ""006WR00000wkDuOYAU"", ""Opportunity_Name"": ""Stonebridge Gardens"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Paused""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:23.461033
a0BWR0000083yLO2AY,AGR-0573,Agreement__c,*record*,"{""Name"": ""AGR-0573"", ""Opportunity__c"": ""006WR00000wkDuUYAU"", ""Opportunity_Name"": ""Pineforest Park"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:23.995724
a0BWR0000083yLP2AY,AGR-0574,Agreement__c,*record*,"{""Name"": ""AGR-0574"", ""Opportunity__c"": ""006WR00000wkDuUYAU"", ""Opportunity_Name"": ""Pineforest Park"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:24.582721
a0BWR0000083yLR2AY,AGR-0576,Agreement__c,*record*,"{""Name"": ""AGR-0576"", ""Opportunity__c"": ""006WR00000wkDuVYAU"", ""Opportunity_Name"": ""Crenshaw Townhouse"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:25.139861
a0BWR0000083yLS2AY,AGR-0577,Agreement__c,*record*,"{""Name"": ""AGR-0577"", ""Opportunity__c"": ""006WR00000wkDuVYAU"", ""Opportunity_Name"": ""Crenshaw Townhouse"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:25.766196
a0BWR0000083yLU2AY,AGR-0579,Agreement__c,*record*,"{""Name"": ""AGR-0579"", ""Opportunity__c"": ""006WR00000wkDuWYAU"", ""Opportunity_Name"": ""West Creek Townhomes"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:26.367633
a0BWR0000083yLV2AY,AGR-0580,Agreement__c,*record*,"{""Name"": ""AGR-0580"", ""Opportunity__c"": ""006WR00000wkDuWYAU"", ""Opportunity_Name"": ""West Creek Townhomes"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:26.948208
a0BWR0000083yLX2AY,AGR-0582,Agreement__c,*record*,"{""Name"": ""AGR-0582"", ""Opportunity__c"": ""006WR00000wkDuXYAU"", ""Opportunity_Name"": ""Vanowen Manor"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:27.740650
a0BWR0000083yLY2AY,AGR-0583,Agreement__c,*record*,"{""Name"": ""AGR-0583"", ""Opportunity__c"": ""006WR00000wkDuXYAU"", ""Opportunity_Name"": ""Vanowen Manor"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:28.528334
