SF_Id,Name,Object,Field,Before,After,Source,Action,Result,Error,Timestamp
006WR00000wkEcDYAU,The 1001 Apartments,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:28.789731
006WR00000wkEcBYAU,Heritage of Newark (FKA Newark Beach Estates),Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:29.256495
006WR00000wkEcAYAU,Creekside Apartments,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:29.686429
006WR00000wkEc8YAE,Bristol Square Apartments,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:30.103733
006WR00000wkEbqYAE,Purgatory Creek Townhomes,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:30.529170
006WR00000wkEbVYAU,CitiFront Apartments,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:30.926663
006WR00000wkEbOYAU,Patriot Place,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:31.266403
006WR00000wkEbNYAU,Parthenia Terrace,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:31.619345
006WR00000wkEbMYAU,Gloria Homes,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:32.025453
006WR00000wkEbLYAU,Brookside Terrace Apartments,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:32.342800
006WR00000wkEbKYAU,The Meadows at Westlake Village,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:32.709803
006WR00000wkEbJYAU,Lombardi Apartments,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:33.095952
006WR00000wkEbIYAU,First Casa De Marina,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:33.410048
006WR00000wkEayYAE,Mississippi View,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:33.882685
006WR00000wkEaxYAE,Link West End,Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:34.262034
006WR00000wkEawYAE,Link Canvas (fka The George & The Leonard),Opportunity,StageName,Marketing/Bulk In Progress,PAL/ROE Complete,TM_review_2026-05-04,Update,OK,,2026-05-07T12:04:34.738340
