SF_Id,Name,Object,Field,Before,After,Source,Action,Result,Error,Timestamp
006WR00000wkEcXYAU,Lakewood Manufactured Home Community,Opportunity,Substatus__c,,Bulk/Marketing Rejected,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:02.564870
006WR00000wkEcLYAU,Olympus Waterford,Opportunity,Substatus__c,,Bulk/Marketing Rejected,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:02.896203
006WR00000wkEc3YAE,Capri on Camelback,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:03.335902
006WR00000wkEboYAE,The Bungalows,Opportunity,Substatus__c,,Bulk/Marketing Rejected,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:03.636886
006WR00000wkEaGYAU,Rio Grande Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:03.995673
006WR00000wkEaFYAU,Regency Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:04.410027
006WR00000wkEaEYAU,Lakeview Court Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:04.762572
006WR00000wkEaDYAU,Mesquite Trails Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:05.069573
006WR00000wkEaCYAU,Village Place Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:05.448537
006WR00000wkEaBYAU,May Road Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:05.818052
006WR00000wkEaAYAU,Pilot Point Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:06.177214
006WR00000wkEa8YAE,La Mirage Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:06.511403
006WR00000wkEa7YAE,Prairie Village Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:06.851159
006WR00000wkEa6YAE,Briarwood Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:07.212662
006WR00000wkEa5YAE,La Mirage Villas Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:07.494552
006WR00000wkEa4YAE,Woodstock III Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:07.850379
006WR00000wkEa3YAE,Stoneridge Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:08.717887
006WR00000wkEa2YAE,Pecan Creek Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:09.085609
006WR00000wkEa1YAE,Vista Hermosa Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:09.484364
006WR00000wkEZwYAM,Western Hills Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:09.792170
006WR00000wkEZuYAM,Pinnacle Pointe,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:10.146970
006WR00000wkEZsYAM,Park at Clear Creek,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:10.492463
006WR00000wkEZrYAM,Lakeview Park,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:10.768381
006WR00000wkEZpYAM,Cypress Ridge,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:11.129967
006WR00000wkEZnYAM,Paris Retirement Village,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:12.011231
006WR00000wkDvBYAU,Northpark Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:12.333555
006WR00000wkDv9YAE,Misty Hollow Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:12.648136
006WR00000wkDv7YAE,Gainesville Gardens Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:12.931092
006WR00000wkDv5YAE,Mill Creek Square Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:13.162387
006WR00000wkDv3YAE,La Villita Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:13.547517
006WR00000wkDv1YAE,Rose Villa Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:13.864414
006WR00000wkDuzYAE,Whispering Oaks Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:14.181679
006WR00000wkDuxYAE,Seven Points Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:14.550367
006WR00000wkDuvYAE,Conquistador Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:14.839269
006WR00000wkDuuYAE,Autumn Villas Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:15.146997
006WR00000wkDuLYAU,Mira Vista Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:15.419190
006WR00000wkDuJYAU,Vanderbilt Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:15.629977
006WR00000wkDuFYAU,Bahia Palms Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:15.900113
006WR00000wkDuDYAU,Texana Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:16.167953
006WR00000wkDu9YAE,Oakwood Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:16.526299
006WR00000wkDu3YAE,La Costa Paloma,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:16.778178
006WR00000wk1EcYAI,Terrace Heights Apartments,Opportunity,Substatus__c,,Incumbent EMA,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:17.126830
006WR00000wk1EFYAY,Affordable Storage,Opportunity,Substatus__c,,No Marketing/Bulk Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:17.460218
006WR00000wkEbqYAE,Purgatory Creek Townhomes,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:17.794515
006WR00000wkEbVYAU,CitiFront Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:18.068296
006WR00000wkEbNYAU,Parthenia Terrace,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:18.323394
006WR00000wkEbMYAU,Gloria Homes,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:18.569973
006WR00000wkEbLYAU,Brookside Terrace Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:18.856598
006WR00000wkEbKYAU,The Meadows at Westlake Village,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:19.196479
006WR00000wkEbJYAU,Lombardi Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:19.520842
006WR00000wkEbIYAU,First Casa De Marina,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:19.831614
006WR00000wkEayYAE,Mississippi View,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:20.156028
006WR00000wkEaxYAE,Link West End,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:20.481237
006WR00000wkEawYAE,Link Canvas (fka The George & The Leonard),Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:20.781077
006WR00000wkEavYAE,Saticoy Gardens,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:21.109452
006WR00000wkEauYAE,Hollypark Knolls Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:21.477708
006WR00000wkEapYAE,The Palms,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:21.745001
006WR00000wkEaoYAE,Vista Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:22.006504
006WR00000wkEanYAE,Topanga Terrace,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:22.341517
006WR00000wkEamYAE,Topanga Apartments,Opportunity,Substatus__c,,ISP or Funding Needed,TM_review_2026-05-04,Update,OK,,2026-05-07T14:27:22.644856
