SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
006WR000011kit1YAA,ROE - 309 E AVENUE C KILLEEN TX,Property_Address__c,(null),309 E AVENUE C,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=KILLEEN state=TX
006WR000011kit2YAA,ROE - 10900 FOUNDERS WAY FORT WORTH TX,Property_Address__c,(null),10900 FOUNDERS WAY,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kit2YAA,ROE - 10900 FOUNDERS WAY FORT WORTH TX,Property_City__c,DFW,FORT WORTH,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kit3YAA,ROE - 1128 BLUE MOUND W RD FORT WORTH TX,Property_Address__c,(null),1128 BLUE MOUND W RD,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kit3YAA,ROE - 1128 BLUE MOUND W RD FORT WORTH TX,Property_City__c,DFW,FORT WORTH,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kit4YAA,ROE - 1650 S FM 51  DECATUR TX,Property_Address__c,(null),1650 S FM 51,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DECATUR state=TX
006WR000011kit5YAA,ROE - 1925 GOLDEN HEIGHTS RD HASLET TX,Property_Address__c,(null),1925 GOLDEN HEIGHTS RD,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kit5YAA,ROE - 1925 GOLDEN HEIGHTS RD HASLET TX,Property_City__c,DFW,HASLET,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kit6YAA,ROE - 200 COUNTY ROAD 306  JARRELL TX,Property_Address__c,(null),200 COUNTY ROAD 306,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=JARRELL state=TX
006WR000011kit7YAA,ROE - 200 N KIMBALL AVE SOUTHLAKE TX,Property_Address__c,(null),200 N KIMBALL AVE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kit7YAA,ROE - 200 N KIMBALL AVE SOUTHLAKE TX,Property_City__c,DFW,SOUTHLAKE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kit8YAA,ROE - 2202 US HIGHWAY 380  BRIDGEPORT TX,Property_Address__c,(null),2202 US HIGHWAY 380,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=BRIDGEPORT state=TX
006WR000011kit9YAA,ROE - 2301 S FM 51  DECATUR TX,Property_Address__c,(null),2301 S FM 51,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DECATUR state=TX
006WR000011kitAYAQ,ROE - 2600 E SOUTHLAKE BLVD SOUTHLAKE TX,Property_Address__c,(null),2600 E SOUTHLAKE BLVD,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitAYAQ,ROE - 2600 E SOUTHLAKE BLVD SOUTHLAKE TX,Property_City__c,DFW,SOUTHLAKE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitBYAQ,ROE - 2641 BLUE MOUND W RD HASLET TX,Property_Address__c,(null),2641 BLUE MOUND W RD,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitBYAQ,ROE - 2641 BLUE MOUND W RD HASLET TX,Property_City__c,DFW,HASLET,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitCYAQ,ROE - 128 GARRETT MORRIS PKWY MINERAL WELLS TX,Property_Address__c,(null),128 GARRETT MORRIS PKWY,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=MINERAL WELLS state=TX
006WR000011kitDYAQ,ROE - 500 W SOUTHLAKE BLVD SOUTHLAKE TX,Property_Address__c,(null),500 W SOUTHLAKE BLVD,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitDYAQ,ROE - 500 W SOUTHLAKE BLVD SOUTHLAKE TX,Property_City__c,DFW,SOUTHLAKE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitEYAQ,ROE - 5250 N TARRANT PKWY FORT WORTH TX,Property_Address__c,(null),5250 N TARRANT PKWY,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitEYAQ,ROE - 5250 N TARRANT PKWY FORT WORTH TX,Property_City__c,DFW,FORT WORTH,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitFYAQ,ROE - 600 INDIAN TRAIL DR HARKER HEIGHTS TX,Property_Address__c,(null),600 INDIAN TRAIL DR HARKER HEIGHTS,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=HARKER HEIGHTS state=TX
006WR000011kitGYAQ,ROE - 7355 N BEACH ST FORT WORTH TX,Property_Address__c,(null),7355 N BEACH ST,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitGYAQ,ROE - 7355 N BEACH ST FORT WORTH TX,Property_City__c,DFW,FORT WORTH,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitHYAQ,ROE - 808 SCHOOLHOUSE RD HASLET TX,Property_Address__c,(null),808 SCHOOLHOUSE RD,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitHYAQ,ROE - 808 SCHOOLHOUSE RD HASLET TX,Property_City__c,DFW,HASLET,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitIYAQ,ROE - 8436 DENTON HWY WATAUGA TX,Property_Address__c,(null),8436 DENTON HWY,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitIYAQ,ROE - 8436 DENTON HWY WATAUGA TX,Property_City__c,DFW,WATAUGA,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitJYAQ,ROE - 1538 E SOUTHLAKE BLVD SOUTHLAKE TX,Property_Address__c,(null),1538 E SOUTHLAKE BLVD,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=SOUTHLAKE state=TX
006WR000011kitKYAQ,ROE - 6430 RUFE SNOW DR N RICHLAND HILLS TX,Property_Address__c,(null),6430 RUFE SNOW DR N,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=RICHLAND HILLS state=TX
006WR000011kitLYAQ,ROE - 104 W RANCIER AVE KILLEEN TX,Property_Address__c,(null),104 W RANCIER AVE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=KILLEEN state=TX
006WR000011kitMYAQ,ROE - 318 AVIATOR DR FORT WORTH TX,Property_Address__c,(null),318 AVIATOR DR,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=FORT WORTH state=TX
006WR000011kitNYAQ,ROE - 1206 W JASPER DR KILLEEN TX,Property_Address__c,(null),1206 W JASPER DR,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=KILLEEN state=TX
006WR000011kitOYAQ,ROE - 120 COUNTRY VIEW DR ROANOKE TX,Property_Address__c,(null),120 COUNTRY VIEW DR,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitOYAQ,ROE - 120 COUNTRY VIEW DR ROANOKE TX,Property_City__c,DFW,ROANOKE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitPYAQ,ROE - 1212 N HIGHWAY 377  ROANOKE TX,Property_Address__c,(null),1212 N HIGHWAY 377,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitPYAQ,ROE - 1212 N HIGHWAY 377  ROANOKE TX,Property_City__c,DFW,ROANOKE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitQYAQ,ROE - 125 COUNTRY VIEW DR ROANOKE TX,Property_Address__c,(null),125 COUNTRY VIEW DR,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitQYAQ,ROE - 125 COUNTRY VIEW DR ROANOKE TX,Property_City__c,DFW,ROANOKE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitRYAQ,ROE - 1401 CATES ST BRIDGEPORT TX,Property_Address__c,(null),1401 CATES ST,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=BRIDGEPORT state=TX
006WR000011kitSYAQ,ROE - 1401 S HIGHWAY 287  DECATUR TX,Property_Address__c,(null),1401 S HIGHWAY 287,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DECATUR state=TX
006WR000011kitTYAQ,ROE - 1540 KELLER PKWY KELLER TX,Property_Address__c,(null),1540 KELLER PKWY,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitTYAQ,ROE - 1540 KELLER PKWY KELLER TX,Property_City__c,DFW,KELLER,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitUYAQ,ROE - 1741 N HWY 377  ROANOKE TX,Property_Address__c,(null),1741 N HWY 377,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitUYAQ,ROE - 1741 N HWY 377  ROANOKE TX,Property_City__c,DFW,ROANOKE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitVYAQ,ROE - 181 GRAND AVE SOUTHLAKE TX,Property_Address__c,(null),181 GRAND AVE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitVYAQ,ROE - 181 GRAND AVE SOUTHLAKE TX,Property_City__c,DFW,SOUTHLAKE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitWYAQ,ROE - 2001 W SOUTHLAKE DR SOUTHLAKE TX,Property_Address__c,(null),2001 W SOUTHLAKE DR,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitWYAQ,ROE - 2001 W SOUTHLAKE DR SOUTHLAKE TX,Property_City__c,DFW,SOUTHLAKE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitXYAQ,ROE - 2175 E SOUTHLAKE BLVD SOUTHLAKE TX,Property_Address__c,(null),2175 E SOUTHLAKE BLVD,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitXYAQ,ROE - 2175 E SOUTHLAKE BLVD SOUTHLAKE TX,Property_City__c,DFW,SOUTHLAKE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitYYAQ,ROE - 2511 TRIMMIER RD KILLEEN TX,Property_Address__c,(null),2511 TRIMMIER RD,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=KILLEEN state=TX
006WR000011kitZYAQ,ROE - 4201 E RANCIER AVE KILLEEN TX,Property_Address__c,(null),4201 E RANCIER AVE,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=KILLEEN state=TX
006WR000011kitaYAA,ROE - 5040 N TARRANT PKWY FORT WORTH TX,Property_Address__c,(null),5040 N TARRANT PKWY,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitaYAA,ROE - 5040 N TARRANT PKWY FORT WORTH TX,Property_City__c,DFW,FORT WORTH,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitbYAA,ROE - 5796 E HIGHWAY 114  HASLET TX,Property_Address__c,(null),5796 E HIGHWAY 114,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitbYAA,ROE - 5796 E HIGHWAY 114  HASLET TX,Property_City__c,DFW,HASLET,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
006WR000011kitcYAA,ROE - 6242 RUFE SNOW DR N RICHLAND HILLS TX,Property_Address__c,(null),6242 RUFE SNOW DR N,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,FILL,Derived from Opp Name; opp_city=DFW state=TX
006WR000011kitcYAA,ROE - 6242 RUFE SNOW DR N RICHLAND HILLS TX,Property_City__c,DFW,RICHLAND HILLS,backfill_business_roe_property_address_2026-04-27.py,2026-04-27T08:35:00,OVERWRITE,DFW/blank -> specific city derived from Opp Name
