SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a02WR00000alpBsYAI,TX1302-013190085A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000alpBwYAI,TX1302-013400106A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000alpByYAI,TX1302-013550121A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amI9vYAE,CA0101-009000242A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amI9wYAE,CA0101-009000256A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amI9xYAE,CA0101-009000253A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amI9yYAE,CA0101-009000254A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amI9zYAE,CA0101-009000255A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amJGaYAM,TX1302-013790145A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amJGfYAM,TX1302-013160182A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amJGlYAM,TX1302-013310197A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amJGpYAM,TX1302-013580224A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amJGxYAM,TX1302-013740240A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amJH4YAM,TX1302-013050271A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000amJH5YAM,TX1302-013070273A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000am38FYAQ,TX0501-012000167A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000am38GYAQ,TX0501-012000168A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000am38HYAQ,TX0501-012000169A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000am38IYAQ,TX0501-012000170A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000am38JYAQ,TX0501-012000171A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000am38KYAQ,TX0501-012000172A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
a02WR00000am38LYAQ,TX0501-012000173A,(deleted),,Unit deleted,cleanup_junk_pls_2026-05-08.py,2026-05-08T12:52:17,DELETE,"child of junk SFU PL ""0""/""SFU"""
