SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
006WR00000y2k2dYAA,Omaha_MDU_3344-3348 Larimore Ave,StageName,Under Construction,Under Contract,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Orphan stage cleanup pre-Phase 2 deploy
006WR00000y3NdSYAU,Omaha_MDU_Benson Crest Apartments 2,StageName,Under Construction,Under Contract,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Orphan stage cleanup pre-Phase 2 deploy
006WR00000y3jyvYAA,Omaha_MDU_4612 Redman Ave,StageName,Under Construction,Under Contract,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Orphan stage cleanup pre-Phase 2 deploy
006WR00000y3k29YAA,Omaha_MDU_9208 Ohio St,StageName,Under Construction,Under Contract,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Orphan stage cleanup pre-Phase 2 deploy
006WR00000zwVEnYAM,SMB ROE Project- 127 W JUANITA AVE MESA AZ 101,Name,SMB ROE Project- 127 W JUANITA AVE MESA AZ 101,127 W JUANITA AVE MESA AZ 101,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR00000zvH95YAE,SMB ROE Project- 127 W JUANITA AVE MESA AZ 105,Name,SMB ROE Project- 127 W JUANITA AVE MESA AZ 105,127 W JUANITA AVE MESA AZ 105,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR00000zveAWYAY,SMB ROE Project- 127 W JUANITA AVE MESA AZ 106,Name,SMB ROE Project- 127 W JUANITA AVE MESA AZ 106,127 W JUANITA AVE MESA AZ 106,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR00000zx55NYAQ,SMB ROE Project- 127 W JUANITA AVE MESA AZ 108,Name,SMB ROE Project- 127 W JUANITA AVE MESA AZ 108,127 W JUANITA AVE MESA AZ 108,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR00000zw4xnYAA,SMB ROE Project- 127 W JUANITA AVE MESA AZ 109,Name,SMB ROE Project- 127 W JUANITA AVE MESA AZ 109,127 W JUANITA AVE MESA AZ 109,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR00000zxFfpYAE,SMB ROE Project- 127 W JUANITA AVE MESA AZ 110,Name,SMB ROE Project- 127 W JUANITA AVE MESA AZ 110,127 W JUANITA AVE MESA AZ 110,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR0000111YOPYA2,SMB ROE Project- 415 N VAL VISTA DR MESA AZ,Name,SMB ROE Project- 415 N VAL VISTA DR MESA AZ,415 N VAL VISTA DR MESA AZ,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR0000113RllYAE,SMB ROE Project- 415 N VAL VISTA DR MESA AZ,Name,SMB ROE Project- 415 N VAL VISTA DR MESA AZ,415 N VAL VISTA DR MESA AZ,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR0000112rwqYAA,SMB ROE Project- 415 N VAL VISTA DR MESA AZ,Name,SMB ROE Project- 415 N VAL VISTA DR MESA AZ,415 N VAL VISTA DR MESA AZ,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR0000117Z01YAE,SMB ROE PROJECT- 6205 N 89TH CIR OMAHA NE,Name,SMB ROE PROJECT- 6205 N 89TH CIR OMAHA NE,6205 N 89TH CIR OMAHA NE,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR0000111wNRYAY,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,Name,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,6910 PACIFIC ST OMAHA NE,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR00001120AvYAI,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,Name,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,6910 PACIFIC ST OMAHA NE,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR00001120XWYAY,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,Name,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,6910 PACIFIC ST OMAHA NE,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR00001121GfYAI,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,Name,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,6910 PACIFIC ST OMAHA NE,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR00001121wbYAA,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,Name,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,6910 PACIFIC ST OMAHA NE,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR0000110fq9YAA,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,Name,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,6910 PACIFIC ST OMAHA NE,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR0000110khjYAA,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,Name,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,6910 PACIFIC ST OMAHA NE,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR0000110yUZYAY,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,Name,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,6910 PACIFIC ST OMAHA NE,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
006WR00001114IEYAY,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,Name,SMB ROE Project- 6910 PACIFIC ST OMAHA NE,6910 PACIFIC ST OMAHA NE,phase1_cleanup_2026-04-25.py,2026-04-25T09:26:07,UPDATE,Drop SMB ROE Project- prefix
