SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a01WR00001JZVYbYAP,102 ARCHWAY LN LIBERTY HILL TX,(created),,PL created,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,CREATE,
a01WR00001JZVYcYAP,135 OLD MILL RD RHOME TX,(created),,PL created,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,CREATE,
a01WR00001JZVYdYAP,660 W FM 2410 HARKER HEIGHTS TX,(created),,PL created,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,CREATE,
a01WR00000UGXnGYAX,704 EDWARDS DR HARKER HEIGHTS TX,Circuit_ID__c,TX1001-006000010A,TX1001-006000005A,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000ZsMsDYAV,TX2001-017000375A,(created),,Unit created,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,CREATE,parent_bba=102 ARCHWAY LN LIBERTY HILL TX
a02WR00000ZsMsEYAV,TX0608-002000336A,(created),,Unit created,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,CREATE,parent_bba=135 OLD MILL RD RHOME TX
a02WR00000FcLqLYAV,TX0603-011000830A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcLqLYAV,TX0603-011000830A,Address_Activation_Date__c,2021-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcM78YAF,TX0606-026000229A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcM78YAF,TX0606-026000229A,Address_Activation_Date__c,2021-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMEQYA3,TX0606-028000003A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMEQYA3,TX0606-028000003A,Address_Activation_Date__c,2021-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMLwYAN,TX0603-009000289A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcMLwYAN,TX0603-009000289A,Address_Activation_Date__c,2021-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000SBPUWYA5,TX0602-031000001A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000SBPUWYA5,TX0602-031000001A,Address_Activation_Date__c,2021-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000SBPakYAH,TX0602-031000002A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000SBPakYAH,TX0602-031000002A,Address_Activation_Date__c,2021-01-01,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcNI7YAN,TX0603-009000278A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
