SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a01WR00000UGWLZYA5,1930 S ALMA SCHOOL RD MESA AZ,Parcel__c,,134-26-571,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGWRPYA5,2045 S VINEYARD MESA AZ,Parcel__c,,302-09-536,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,"source=Parcel; stripped ""common parcel"" prefix"
a01WR00000UGWKFYA5,1855 W BASELINE RD MESA AZ,Parcel__c,,305-05-560B,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGWYzYAP,2222 S DOBSON RD MESA AZ,Parcel__c,,305-10-137,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,"source=Parcel; stripped ""common parcel"" prefix"
a01WR00000UGYB6YAP,941 S DOBSON RD MESA AZ,Parcel__c,,"134-27-003M, -003T, -003V",push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGWJuYAP,1839 S ALMA SCHOOL RD MESA AZ,Parcel__c,,134-26-318A,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGWfZYAX,2602 W BASELINE RD MESA AZ,Parcel__c,,305-02-418C,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGXNaYAP,5026 E MAIN ST MESA AZ,Parcel__c,,140-17-008,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGXStYAP,535 W IRON AVE MESA AZ,Parcel__c,,134-24-001V,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGWJ7YAP,1811 S ALMA SCHOOL RD MESA AZ,Parcel__c,,134-26-317A,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGWqFYAX,3050 S COUNTRY CLUB DR MESA AZ,Parcel__c,,302-77-004G,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGXLQYA5,4830 E MAIN ST MESA AZ,Parcel__c,,140-17-001A,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGXr3YAH,737 W GUADALUPE RD MESA AZ,Parcel__c,,"302-77-880, 302-77-630A",push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGWjKYAX,2815 S ALMA SCHOOL RD MESA AZ,Parcel__c,,302-77-238Q,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGXrYYAX,745 W BASELINE RD MESA AZ,Parcel__c,,302-04-008G,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGWLpYAP,1941 W GUADALUPE RD MESA AZ,Parcel__c,,302-78-002W,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGWJtYAP,1837 W GUADALUPE RD MESA AZ,Parcel__c,,302-78-002W,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000YkxHkYAJ,1012 S STAPLEY DR MESA AZ,Parcel__c,,multiple,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
